,Cycle,Beamline,Year,Month,Day,Time
0,Cycle-1,AMX,2020,1,17,16:00-22:00
1,Cycle-1,AMX,2020,1,30,16:00-22:00
2,Cycle-1,AMX,2020,1,17,22:00-7:00
3,Cycle-1,AMX,2020,1,30,22:00-7:00
4,Cycle-1,FMX,2020,1,17,09:00-15:00
5,Cycle-1,FMX,2020,1,25,09:00-15:00
6,Cycle-1,FMX,2020,1,25,16:00-22:00
7,Cycle-1,FMX,2020,1,31,16:00-22:00
8,Cycle-1,AMX,2020,2,6,09:00-15:00
9,Cycle-1,AMX,2020,2,13,09:00-15:00
10,Cycle-1,AMX,2020,2,27,09:00-15:00
11,Cycle-1,AMX,2020,2,6,16:00-22:00
12,Cycle-1,AMX,2020,2,13,16:00-22:00
13,Cycle-1,AMX,2020,2,27,16:00-22:00
14,Cycle-1,AMX,2020,3,5,09:00-15:00
15,Cycle-1,AMX,2020,3,12,09:00-15:00
16,Cycle-1,AMX,2020,3,19,09:00-15:00
17,Cycle-1,AMX,2020,3,20,09:00-15:00
18,Cycle-1,AMX,2020,3,25,09:00-15:00
19,Cycle-1,AMX,2020,3,27,09:00-15:00
20,Cycle-1,AMX,2020,3,19,16:00-22:00
21,Cycle-1,AMX,2020,3,5,22:00-7:00
22,Cycle-1,AMX,2020,3,12,22:00-7:00
23,Cycle-1,AMX,2020,3,19,22:00-7:00
24,Cycle-1,FMX,2020,3,27,09:00-15:00
25,Cycle-1,AMX,2020,4,2,09:00-15:00
26,Cycle-1,AMX,2020,4,17,09:00-15:00
27,Cycle-1,FMX,2020,4,9,09:00-15:00
28,Cycle-1,FMX,2020,4,27,09:00-15:00
29,Cycle-1,AMX,2020,5,8,09:00-15:00
30,Cycle-1,AMX,2020,5,13,09:00-15:00
31,Cycle-1,AMX,2020,5,22,09:00-15:00
32,Cycle-1,AMX,2020,5,27,09:00-15:00
33,Cycle-1,FMX,2020,5,14,09:00-15:00
34,Cycle-1,FMX,2020,5,29,09:00-15:00
35,Cycle-1,AMX,2020,6,5,09:00-15:00
36,Cycle-1,AMX,2020,6,12,09:00-15:00
37,Cycle-2,AMX,2021,6,25,09:00-15:00
38,Cycle-2,FMX,2021,6,5,09:00-15:00
39,Cycle-2,FMX,2021,6,6,09:00-15:00
40,Cycle-2,FMX,2021,6,9,09:00-15:00
41,Cycle-2,FMX,2021,6,16,09:00-15:00
42,Cycle-2,FMX,2021,6,20,09:00-15:00
43,Cycle-2,AMX,2021,7,29,09:00-15:00
44,Cycle-2,AMX,2021,7,28,16:00-22:00
45,Cycle-2,AMX,2021,7,29,16:00-22:00
46,Cycle-2,AMX,2021,7,30,16:00-22:00
47,Cycle-2,AMX,2021,7,29,22:00-7:00
48,Cycle-2,FMX,2021,7,1,09:00-15:00
49,Cycle-2,FMX,2021,7,10,09:00-15:00
50,Cycle-2,FMX,2021,7,11,09:00-15:00
51,Cycle-2,FMX,2021,7,16,09:00-15:00
52,Cycle-2,FMX,2021,7,21,09:00-15:00
53,Cycle-2,FMX,2021,7,31,09:00-15:00
54,Cycle-2,FMX,2021,7,10,16:00-22:00
55,Cycle-2,FMX,2021,7,11,16:00-22:00
56,Cycle-2,FMX,2021,7,20,16:00-22:00
57,Cycle-2,FMX,2021,7,21,16:00-22:00
58,Cycle-2,FMX,2021,7,22,16:00-22:00
59,Cycle-2,FMX,2021,7,30,16:00-22:00
60,Cycle-2,FMX,2021,7,31,16:00-22:00
61,Cycle-2,FMX,2021,7,20,22:00-7:00
62,Cycle-2,FMX,2021,7,21,22:00-7:00
63,Cycle-2,FMX,2021,7,22,22:00-7:00
64,Cycle-2,FMX,2021,7,30,22:00-7:00
65,Cycle-2,FMX,2021,7,31,22:00-7:00
66,Cycle-2,FMX,2021,8,1,09:00-15:00
67,Cycle-2,FMX,2021,8,2,09:00-15:00
68,Cycle-2,FMX,2021,8,6,09:00-15:00
69,Cycle-2,FMX,2021,8,6,16:00-22:00
70,Cycle-2,FMX,2021,8,7,16:00-22:00
71,Cycle-2,FMX,2021,8,6,22:00-7:00
72,Cycle-2,FMX,2021,8,7,22:00-7:00
73,Cycle-2,FMX,2021,8,8,22:00-7:00
74,Cycle-3,FMX,2020,10,30,09:00-15:00
75,Cycle-3,FMX,2020,10,30,16:00-22:00
76,Cycle-3,FMX,2020,10,30,22:00-7:00
77,Cycle-3,AMX,2020,11,20,09:00-15:00
78,Cycle-3,AMX,2020,11,21,09:00-15:00
79,Cycle-3,AMX,2020,11,1,16:00-22:00
80,Cycle-3,AMX,2020,11,2,16:00-22:00
81,Cycle-3,AMX,2020,11,20,16:00-22:00
82,Cycle-3,AMX,2020,11,21,16:00-22:00
83,Cycle-3,AMX,2020,11,20,22:00-7:00
84,Cycle-3,FMX,2020,11,11,09:00-15:00
85,Cycle-3,FMX,2020,11,11,16:00-22:00
86,Cycle-3,FMX,2020,11,11,22:00-7:00
87,Cycle-3,AMX,2020,12,3,09:00-15:00
88,Cycle-3,AMX,2020,12,13,09:00-15:00
89,Cycle-3,AMX,2020,12,15,09:00-15:00
90,Cycle-3,AMX,2020,12,15,16:00-22:00
91,Cycle-3,AMX,2020,12,17,16:00-22:00
92,Cycle-3,AMX,2020,12,15,22:00-7:00
93,Cycle-3,FMX,2020,12,2,09:00-15:00
94,Cycle-3,FMX,2020,12,11,09:00-15:00
95,Cycle-3,FMX,2020,12,12,09:00-15:00
96,Cycle-3,FMX,2020,12,11,16:00-22:00
97,Cycle-3,FMX,2020,12,11,22:00-7:00
98,Cycle-1,AMX,2021,2,11,09:00-15:00
99,Cycle-1,AMX,2021,2,26,09:00-15:00
100,Cycle-1,AMX,2021,2,28,09:00-15:00
101,Cycle-1,AMX,2021,2,26,16:00-22:00
102,Cycle-1,AMX,2021,2,26,22:00-7:00
103,Cycle-1,FMX,2021,2,7,09:00-15:00
104,Cycle-1,FMX,2021,2,11,09:00-15:00
105,Cycle-1,FMX,2021,2,19,09:00-15:00
106,Cycle-1,FMX,2021,2,20,09:00-15:00
107,Cycle-1,FMX,2021,2,5,16:00-22:00
108,Cycle-1,FMX,2021,2,10,16:00-22:00
109,Cycle-1,FMX,2021,2,17,16:00-22:00
110,Cycle-1,FMX,2021,2,25,16:00-22:00
111,Cycle-1,FMX,2021,2,5,22:00-7:00
112,Cycle-1,FMX,2021,2,10,22:00-7:00
113,Cycle-1,FMX,2021,2,17,22:00-7:00
114,Cycle-1,FMX,2021,2,25,22:00-7:00
115,Cycle-1,AMX,2021,3,23,09:00-15:00
116,Cycle-1,AMX,2021,3,23,16:00-22:00
117,Cycle-1,AMX,2021,3,23,22:00-7:00
118,Cycle-1,FMX,2021,3,11,09:00-15:00
119,Cycle-1,FMX,2021,3,15,09:00-15:00
120,Cycle-1,FMX,2021,3,24,09:00-15:00
121,Cycle-1,FMX,2021,3,12,16:00-22:00
122,Cycle-1,FMX,2021,3,18,16:00-22:00
123,Cycle-1,FMX,2021,3,12,22:00-7:00
124,Cycle-1,FMX,2021,3,13,22:00-7:00
125,Cycle-1,FMX,2021,3,14,22:00-7:00
126,Cycle-1,FMX,2021,3,18,22:00-7:00
127,Cycle-1,FMX,2021,3,19,22:00-7:00
128,Cycle-2,AMX,2020,7,17,09:00-15:00
129,Cycle-2,AMX,2020,7,28,09:00-15:00
130,Cycle-2,FMX,2020,7,16,09:00-15:00
131,Cycle-2,FMX,2020,7,29,09:00-15:00
132,Cycle-2,FMX,2020,7,31,09:00-15:00
133,Cycle-2,AMX,2020,8,11,09:00-15:00
134,Cycle-2,AMX,2020,8,28,09:00-15:00
135,Cycle-2,AMX,2020,8,29,09:00-15:00
136,Cycle-2,AMX,2020,8,11,16:00-22:00
137,Cycle-2,AMX,2020,8,20,16:00-22:00
138,Cycle-2,AMX,2020,8,27,16:00-22:00
139,Cycle-2,AMX,2020,8,28,16:00-22:00
140,Cycle-2,AMX,2020,8,30,16:00-22:00
141,Cycle-2,AMX,2020,8,31,16:00-22:00
142,Cycle-2,AMX,2020,8,11,22:00-7:00
143,Cycle-2,AMX,2020,8,20,22:00-7:00
144,Cycle-2,AMX,2020,8,28,22:00-7:00
145,Cycle-2,AMX,2020,8,31,22:00-7:00
146,Cycle-2,FMX,2020,8,7,09:00-15:00
147,Cycle-2,FMX,2020,8,11,09:00-15:00
148,Cycle-2,FMX,2020,8,19,09:00-15:00
149,Cycle-2,FMX,2020,8,7,16:00-22:00
150,Cycle-2,FMX,2020,8,10,16:00-22:00
151,Cycle-2,FMX,2020,8,21,16:00-22:00
152,Cycle-2,FMX,2020,8,23,16:00-22:00
153,Cycle-2,FMX,2020,8,24,16:00-22:00
154,Cycle-2,FMX,2020,8,28,16:00-22:00
155,Cycle-2,FMX,2020,8,7,22:00-7:00
156,Cycle-2,FMX,2020,8,21,22:00-7:00
157,Cycle-2,FMX,2020,8,28,22:00-7:00
158,Cycle-2,AMX,2020,9,9,16:00-22:00
159,Cycle-2,FMX,2020,9,9,09:00-15:00
160,Cycle-2,FMX,2020,9,10,09:00-15:00
161,Cycle-2,FMX,2020,9,2,16:00-22:00
162,Cycle-2,FMX,2020,9,9,16:00-22:00
163,Cycle-2,FMX,2020,9,2,22:00-7:00
164,Cycle-2,FMX,2020,9,9,22:00-7:00
